Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Distance__km_,AVG_speed_km_per_hr,RANK_Annual_APC_Boardings,Annual_APC_Boardings,AVG_Daily_APC_Boardings_MF,AVG_Daily_APC_Boardings_Sat,AVG_Daily_APC_Boardings_SunHol,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Year
2,MACDONALD/BURRARD STN,Vancouver/UBC,Std. Bus,All Day Frequent,93000,167000,8.6,18 km/h,20,3478610,10374,8770,6760,12,85%,6711208,54794,2023
3,MAIN/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,86000,151000,10.5,14 km/h,16,3623075,10560,9598,7651,1,76%,6169846,54475,2023
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,135000,233000,13,18 km/h,33,2244939,6549,5913,4744,6,76%,6707529,60680,2023
005/006,ROBSON/DOWNTOWN/DAVIE,Vancouver/UBC,Std. Trolley,All Day Frequent,125000,196000,2.9,10 km/h,10,4528470,13204,11819,9683,9,83%,8618773,80589,2023
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Standard,158000,226000,15.4,17 km/h,17,3572134,10553,9240,7156,3,66%,8275104,75617,2023
8,FRASER/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,87000,150000,7.2,14 km/h,26,2997744,8854,7525,6195,1,74%,5458270,50004,2023
9,BDRY/COMM-BWY/GRAN/ALMA/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,116000,112000,9.2,16 km/h,14,3864561,11598,8728,8023,11,83%,9465116,77033,2023
10,GRANVILLE/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,109000,203000,11.6,16 km/h,24,3041880,9306,6835,5635,0,72%,6215234,54654,2023
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,157000,250000,14,17 km/h,23,3128908,8777,9319,7161,7,73%,9219388,81999,2023
015/050,CAMBIE/OLYMPIC VILLAGE STN/WATERFRONT STN/FALSE CREEK SOUTH,Vancouver/UBC,Std. Bus,Standard,139000,249000,7.1,16 km/h,30,2465765,7111,6572,5478,3,77%,6211980,57697,2023
16,29TH AVENUE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,164000,248000,18.4,16 km/h,7,5346397,15951,13178,10600,7,77%,10987222,100400,2023
17,DOWNTOWN/OAK,Vancouver/UBC,Std. Trolley,All Day Frequent,103000,217000,11.5,16 km/h,36,2140839,6518,4772,4123,2,71%,5286047,46864,2023
19,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent,155000,219000,10.6,14 km/h,11,4487054,12637,12277,10930,5,70%,9455227,87478,2023
20,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,109000,194000,8.7,14 km/h,12,4438302,13271,10596,8955,1,78%,8078562,69914,2023
22,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,110000,197000,10.5,16 km/h,28,2803199,8617,6157,5142,7,84%,6328894,59245,2023
23,MAIN ST STN/ENGLISH BAY,Vancouver/UBC,Mini-Bus,All Day Frequent,104000,105000,5.5,15 km/h,56,1383566,4062,3603,2852,1,82%,2502085,43552,2023
25,BRENTWOOD STN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,107000,60000,18.3,21 km/h,5,6644351,20856,13921,10993,28,77%,12000638,112713,2023
26,JOYCE STN/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,60000,11000,10.8,20 km/h,61,1239542,3943,2574,1859,0,91%,2951485,27218,2023
