Name,Line,Station_Code,Sub_Region,Municipality,Year_Open,Route_Connections,Stop_Connections,Rail_SeaBus_Connections,Annual_Boardings,Annual_Alightings,Employment,Population,Stn_Latitude,Stn_Longtitude,data_year,platform_level,platform_type,faregate_count
Waterfront Station,Canada Line,WF,Vancouver/UBC,Vancouver,2009,003; 004; 007; 008; 010; 015/050; 044; N8; R5,50034; 50035; 50040; 50408; 58202,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,4344700,4614300,130000,19000,-123.113121,49.28660202,2023,Below ground,Centre,20
Vancouver City Centre Station,Canada Line,VA,Vancouver/UBC,Vancouver,2009,004; 007; 010; 014; 015/050; 016; 017; 020; 240; 241; 246/249; 247; 250; 253; 254; 257; N15; N19; N20; N22; N24; N35; N8,50976; 54445; 58504; 60980; 61031; 61293,Canada Line; Expo/Millennium Line,4752600,4978200,147000,39000,-123.1181946,49.2824173,2023,Elevated,Side,6
Olympic Village Station,Canada Line,OV,Vancouver/UBC,Vancouver,2009,015/050; 084,61039; 61040; 61254,Canada Line,1205200,1094000,33000,16000,-123.1147995,49.26657104,2023,Below ground,Centre,3
King Edward Station,Canada Line,KE,Vancouver/UBC,Vancouver,2009,015/050; 025; 033; N15,50419; 50475; 51574; 60607,Canada Line,2023100,2018800,3000,9000,-123.1150284,49.24855423,2023,Below ground,Side (stacked),3
Marine Drive Station,Canada Line,MD,Vancouver/UBC,Vancouver,2009,003; 010; 015/050; 017; 080; 100; N15; N20; N8,61337; 61338,Canada Line,3278000,3271400,6000,10000,-123.1170731,49.20978546,2023,Elevated,Side,6
Bridgeport Station,Canada Line,BP,Southwest,Richmond,2009,311; 351; 352; 354; 403; 407; 412; 430; 601; 602; 603; 604; 620; N10,61321; 61323; 61324; 61325; 61326; 61327; 61328; 61329; 61330; 61331; 61693,Canada Line,3153500,3264400,5000,4000,-123.1259003,49.19553375,2023,Elevated,Centre,5
Aberdeen Station,Canada Line,AB,Southwest,Richmond,2009,403; 410; N10,56564; 58198,Canada Line,1268300,1336900,17000,5000,-123.1362839,49.18444824,2023,Elevated,Side,8
Lansdowne Station,Canada Line,LA,Southwest,Richmond,2009,403; 405; 407; 410; 416; N10,56454; 58196; 59771; 61978,Canada Line,1457200,1466500,19000,21000,-123.1363525,49.1737175,2023,Elevated,Side,6
Templeton Station,Canada Line,TE,Southwest,Richmond,2009,N10,52115; 52226,Canada Line,1268800,1326000,2000,200,-123.1465683,49.19667053,2023,At ground level,Side,6
Sea Island Centre Station,Canada Line,SI,Southwest,Richmond,2009,N10,52112; 52228,Canada Line,312200,337000,7000,400,-123.1590118,49.19268036,2023,At ground level,Centre,3
